E:\Slagelse\Hr\Recording19-11-2014_12-47-22 - 19/11/2014 11:47:22

Frame; Altitude; Azimuth; Heading; Latitude; Longitude; NMEA; NumberOfSatalites; Quality; Pitch; Roll; Stamp
0; 479; 146.17; 146.17; 55.3780266666667; 11.37617; $EVT1,301706.784276,G,00080731*35 ; 0; 0; -1.78; 0.46; 19/11/2014 11:47:22
1; 479; 146.45; 146.45; 55.3780116666667; 11.3761883333333; $EVT1,301706.952032,G,00080732*31 ; 0; 0; -1.77; 0.5; 19/11/2014 11:47:22
2; 479; 146.86; 146.86; 55.37799; 11.3762133333333; $EVT1,301707.119790,G,00080733*39 ; 0; 0; -1.85; 0.41; 19/11/2014 11:47:23
3; 479; 147.23; 147.23; 55.377975; 11.3762316666667; $EVT1,301707.287547,G,00080734*32 ; 0; 0; -1.88; 0.31; 19/11/2014 11:47:23
4; 478; 147.63; 147.63; 55.3779583333333; 11.3762483333333; $EVT1,301707.455302,G,00080735*3D ; 0; 0; -1.91; 0.2; 19/11/2014 11:47:23
5; 478; 148.23; 148.23; 55.3779383333333; 11.3762716666667; $EVT1,301707.623059,G,00080736*30 ; 0; 0; -2.06; 0.13; 19/11/2014 11:47:23
6; 478; 148.73; 148.73; 55.3779216666667; 11.3762883333333; $EVT1,301707.790815,G,00080737*38 ; 0; 0; -2.22; 0.16; 19/11/2014 11:47:23
7; 478; 149.23; 149.23; 55.3779066666667; 11.376305; $EVT1,301707.958571,G,00080738*32 ; 0; 0; -2.42; 0.17; 19/11/2014 11:47:23
8; 478; 149.89; 149.89; 55.3778866666667; 11.3763266666667; $EVT1,301708.126329,G,00080739*36 ; 0; 0; -2.36; 0.27; 19/11/2014 11:47:24
9; 477; 150.37; 150.37; 55.37787; 11.3763416666667; $EVT1,301708.294085,G,00080740*37 ; 0; 0; -2.19; 0.33; 19/11/2014 11:47:24
10; 477; 151; 151; 55.37785; 11.3763616666667; $EVT1,301708.461842,G,00080741*39 ; 0; 0; -2.15; 0.47; 19/11/2014 11:47:24
11; 477; 151.48; 151.48; 55.377835; 11.3763766666667; $EVT1,301708.629597,G,00080742*31 ; 0; 0; -2.21; 0.57; 19/11/2014 11:47:24
12; 477; 151.94; 151.94; 55.37782; 11.3763916666667; $EVT1,301708.797354,G,00080743*3D ; 0; 0; -2.3; 0.65; 19/11/2014 11:47:24
13; 476; 152.54; 152.54; 55.3778; 11.37641; $EVT1,301708.965109,G,00080744*33 ; 0; 0; -2.37; 0.72; 19/11/2014 11:47:24
14; 476; 153; 153; 55.377785; 11.3764233333333; $EVT1,301709.132868,G,00080745*37 ; 0; 0; -2.32; 0.68; 19/11/2014 11:47:25
15; 476; 153.47; 153.47; 55.37777; 11.3764366666667; $EVT1,301709.300624,G,00080746*31 ; 0; 0; -2.23; 0.56; 19/11/2014 11:47:25
16; 476; 154.1; 154.1; 55.3777516666667; 11.3764533333333; $EVT1,301709.468381,G,00080747*33 ; 0; 0; -2.17; 0.39; 19/11/2014 11:47:25
17; 476; 154.57; 154.57; 55.3777383333333; 11.376465; $EVT1,301709.636136,G,00080748*3B ; 0; 0; -2.21; 0.28; 19/11/2014 11:47:25
18; 476; 155.17; 155.17; 55.3777216666667; 11.3764783333333; $EVT1,301709.803893,G,00080749*34 ; 0; 0; -2.39; 0.21; 19/11/2014 11:47:25
19; 476; 155.66; 155.66; 55.3777083333333; 11.37649; $EVT1,301709.971648,G,00080750*30 ; 0; 0; -2.52; 0.21; 19/11/2014 11:47:25
20; 475; 156.16; 156.16; 55.377695; 11.3765; $EVT1,301710.139407,G,00080751*34 ; 0; 0; -2.57; 0.23; 19/11/2014 11:47:26
21; 475; 156.87; 156.87; 55.3776783333333; 11.3765133333333; $EVT1,301710.307163,G,00080752*3F ; 0; 0; -2.56; 0.21; 19/11/2014 11:47:26
22; 475; 157.41; 157.41; 55.3776666666667; 11.3765216666667; $EVT1,301710.474920,G,00080753*32 ; 0; 0; -2.61; 0.24; 19/11/2014 11:47:26
23; 475; 157.94; 157.94; 55.377655; 11.37653; $EVT1,301710.642675,G,00080754*3D ; 0; 0; -2.65; 0.27; 19/11/2014 11:47:26
24; 475; 158.69; 158.69; 55.37764; 11.37654; $EVT1,301710.810432,G,00080755*34 ; 0; 0; -2.61; 0.13; 19/11/2014 11:47:26
25; 474; 159.28; 159.28; 55.37763; 11.3765466666667; $EVT1,301710.978187,G,00080756*33 ; 0; 0; -2.59; 0.16; 19/11/2014 11:47:26
26; 474; 159.89; 159.89; 55.37762; 11.3765533333333; $EVT1,301711.145946,G,00080757*30 ; 0; 0; -2.59; 0.24; 19/11/2014 11:47:27
27; 474; 160.71; 160.71; 55.3776066666667; 11.3765616666667; $EVT1,301711.313702,G,00080758*30 ; 0; 0; -2.21; 0.12; 19/11/2014 11:47:27
28; 473; 161.34; 161.34; 55.3775966666667; 11.3765683333333; $EVT1,301711.481458,G,00080759*31 ; 0; 0; -1.99; 0.03; 19/11/2014 11:47:27
29; 473; 162.06; 162.06; 55.3775866666667; 11.376575; $EVT1,301711.649214,G,00080760*33 ; 0; 0; -2.05; -0.02; 19/11/2014 11:47:27
30; 473; 163.26; 163.26; 55.3775733333333; 11.3765816666667; $EVT1,301711.816970,G,00080761*3F ; 0; 0; -2.05; -0.25; 19/11/2014 11:47:27
31; 472; 164.33; 164.33; 55.3775633333333; 11.3765866666667; $EVT1,301711.984726,G,00080762*3B ; 0; 0; -2.07; -0.39; 19/11/2014 11:47:27
32; 472; 166.07; 166.07; 55.37755; 11.3765933333333; $EVT1,301712.152485,G,00080763*30 ; 0; 0; -2.06; -0.62; 19/11/2014 11:47:28
33; 472; 167.65; 167.65; 55.37754; 11.3765966666667; $EVT1,301712.320241,G,00080764*3E ; 0; 0; -1.99; -0.79; 19/11/2014 11:47:28
34; 472; 169.52; 169.52; 55.37753; 11.3766; $EVT1,301712.487997,G,00080765*35 ; 0; 0; -1.92; -0.96; 19/11/2014 11:47:28
35; 471; 172.34; 172.34; 55.3775166666667; 11.376605; $EVT1,301712.655753,G,00080766*3D ; 0; 0; -1.84; -1.23; 19/11/2014 11:47:28
36; 471; 174.76; 174.76; 55.3775066666667; 11.3766066666667; $EVT1,301712.823509,G,00080767*3E ; 0; 0; -1.74; -1.16; 19/11/2014 11:47:28
37; 471; 177.36; 177.36; 55.3774966666667; 11.3766066666667; $EVT1,301712.991266,G,00080768*37 ; 0; 0; -1.36; -0.96; 19/11/2014 11:47:28
38; 471; 180.93; 180.93; 55.3774833333333; 11.3766066666667; $EVT1,301713.159024,G,00080769*3F ; 0; 0; -0.89; -0.76; 19/11/2014 11:47:29
39; 471; 183.54; 183.54; 55.3774733333333; 11.3766066666667; $EVT1,301713.326779,G,00080770*32 ; 0; 0; -1.06; -0.56; 19/11/2014 11:47:29
40; 471; 186.21; 186.21; 55.3774633333333; 11.376605; $EVT1,301713.494536,G,00080771*34 ; 0; 0; -1.35; -0.46; 19/11/2014 11:47:29
41; 471; 189.73; 189.73; 55.3774516666667; 11.3766; $EVT1,301713.662291,G,00080772*36 ; 0; 0; -1.49; -0.39; 19/11/2014 11:47:29
42; 471; 192.35; 192.35; 55.3774416666667; 11.3765966666667; $EVT1,301713.830048,G,00080773*38 ; 0; 0; -1.51; -0.22; 19/11/2014 11:47:29
43; 471; 194.98; 194.98; 55.3774316666667; 11.3765933333333; $EVT1,301713.997804,G,00080774*33 ; 0; 0; -1.62; -0.15; 19/11/2014 11:47:29
44; 471; 198.21; 198.21; 55.37742; 11.3765866666667; $EVT1,301714.165563,G,00080775*3C ; 0; 0; -1.85; -0.04; 19/11/2014 11:47:30
45; 471; 200.35; 200.35; 55.37741; 11.37658; $EVT1,301714.333318,G,00080776*34 ; 0; 0; -2.09; 0.15; 19/11/2014 11:47:30
46; 471; 202.61; 202.61; 55.3773983333333; 11.3765716666667; $EVT1,301714.501075,G,00080777*3A ; 0; 0; -2.39; 0.27; 19/11/2014 11:47:30
47; 471; 203.71; 203.71; 55.3773883333333; 11.376565; $EVT1,301714.668831,G,00080778*31 ; 0; 0; -2.49; 0.38; 19/11/2014 11:47:30
48; 471; 204.34; 204.34; 55.37738; 11.3765583333333; $EVT1,301714.836587,G,00080779*35 ; 0; 0; -2.6; 0.57; 19/11/2014 11:47:30
49; 470; 204.48; 204.48; 55.3773683333333; 11.37655; $EVT1,301715.004345,G,00080780*33 ; 0; 0; -2.69; 0.71; 19/11/2014 11:47:31
50; 470; 203.99; 203.99; 55.3773583333333; 11.3765433333333; $EVT1,301715.172102,G,00080781*33 ; 0; 0; -2.76; 0.88; 19/11/2014 11:47:31
51; 470; 203.17; 203.17; 55.3773483333333; 11.3765366666667; $EVT1,301715.339857,G,00080782*34 ; 0; 0; -2.96; 1.05; 19/11/2014 11:47:31
52; 470; 201.3; 201.3; 55.3773366666667; 11.3765283333333; $EVT1,301715.507614,G,00080783*37 ; 0; 0; -3.13; 1.31; 19/11/2014 11:47:31
53; 469; 199.51; 199.51; 55.3773266666667; 11.3765233333333; $EVT1,301715.675370,G,00080784*31 ; 0; 0; -3.13; 1.4; 19/11/2014 11:47:31
54; 469; 197.43; 197.43; 55.3773183333333; 11.3765183333333; $EVT1,301715.843126,G,00080785*3A ; 0; 0; -3.05; 1.43; 19/11/2014 11:47:31
55; 469; 194.25; 194.25; 55.377305; 11.3765133333333; $EVT1,301716.010884,G,00080786*35 ; 0; 0; -3.06; 1.43; 19/11/2014 11:47:32
56; 469; 191.9; 191.9; 55.3772966666667; 11.37651; $EVT1,301716.178641,G,00080787*3C ; 0; 0; -2.94; 1.27; 19/11/2014 11:47:32
57; 468; 189.66; 189.66; 55.3772866666667; 11.3765066666667; $EVT1,301716.346396,G,00080788*33 ; 0; 0; -2.88; 1.13; 19/11/2014 11:47:32
58; 468; 186.64; 186.64; 55.377275; 11.376505; $EVT1,301716.514153,G,00080789*38 ; 0; 0; -3.03; 1.14; 19/11/2014 11:47:32
59; 468; 184.39; 184.39; 55.377265; 11.3765033333333; $EVT1,301716.681909,G,00080790*38 ; 0; 0; -3.01; 1.18; 19/11/2014 11:47:32
60; 468; 182.14; 182.14; 55.3772566666667; 11.3765033333333; $EVT1,301716.849665,G,00080791*36 ; 0; 0; -2.9; 1.16; 19/11/2014 11:47:32
61; 467; 179.13; 179.13; 55.3772433333333; 11.3765033333333; $EVT1,301717.017422,G,00080792*36 ; 0; 0; -2.79; 1.12; 19/11/2014 11:47:33
62; 467; 176.81; 176.81; 55.377235; 11.3765033333333; $EVT1,301717.185179,G,00080793*36 ; 0; 0; -2.81; 1.12; 19/11/2014 11:47:33
63; 467; 173.7; 173.7; 55.3772216666667; 11.376505; $EVT1,301717.352935,G,00080794*39 ; 0; 0; -2.83; 1.2; 19/11/2014 11:47:33
64; 467; 171.37; 171.37; 55.3772133333333; 11.3765083333333; $EVT1,301717.520691,G,00080795*3A ; 0; 0; -2.79; 1.18; 19/11/2014 11:47:33
65; 466; 169.02; 169.02; 55.377205; 11.37651; $EVT1,301717.688447,G,00080796*31 ; 0; 0; -2.78; 1.14; 19/11/2014 11:47:33
66; 466; 165.88; 165.88; 55.3771916666667; 11.376515; $EVT1,301717.856203,G,00080797*3B ; 0; 0; -2.7; 1.21; 19/11/2014 11:47:33
67; 466; 163.45; 163.45; 55.3771833333333; 11.37652; $EVT1,301718.023962,G,00080798*3D ; 0; 0; -2.65; 1.26; 19/11/2014 11:47:34
68; 466; 160.93; 160.93; 55.377175; 11.376525; $EVT1,301718.191718,G,00080799*37 ; 0; 0; -2.61; 1.32; 19/11/2014 11:47:34
69; 465; 157.49; 157.49; 55.3771633333333; 11.3765333333333; $EVT1,301718.359475,G,00080800*36 ; 0; 0; -2.49; 1.32; 19/11/2014 11:47:34
70; 465; 154.84; 154.84; 55.3771533333333; 11.37654; $EVT1,301718.527230,G,00080801*3F ; 0; 0; -2.38; 1.34; 19/11/2014 11:47:34
71; 465; 152.18; 152.18; 55.377145; 11.3765466666667; $EVT1,301718.694987,G,00080802*30 ; 0; 0; -2.31; 1.34; 19/11/2014 11:47:34
72; 465; 148.62; 148.62; 55.377135; 11.3765583333333; $EVT1,301718.862742,G,00080803*31 ; 0; 0; -2.3; 1.31; 19/11/2014 11:47:34
73; 465; 145.95; 145.95; 55.3771266666667; 11.3765683333333; $EVT1,301719.030500,G,00080804*3C ; 0; 0; -2.29; 1.34; 19/11/2014 11:47:35
74; 465; 143.28; 143.28; 55.3771183333333; 11.3765766666667; $EVT1,301719.198256,G,00080805*3A ; 0; 0; -2.29; 1.34; 19/11/2014 11:47:35
75; 464; 139.71; 139.71; 55.3771083333333; 11.3765916666667; $EVT1,301719.366013,G,00080806*39 ; 0; 0; -2.25; 1.33; 19/11/2014 11:47:35
76; 464; 137.04; 137.04; 55.3771016666667; 11.3766033333333; $EVT1,301719.533768,G,00080807*35 ; 0; 0; -2.16; 1.35; 19/11/2014 11:47:35
77; 464; 133.45; 133.45; 55.3770933333333; 11.3766183333333; $EVT1,301719.701525,G,00080808*32 ; 0; 0; -2.13; 1.42; 19/11/2014 11:47:35
78; 464; 130.79; 130.79; 55.3770866666667; 11.3766316666667; $EVT1,301719.869280,G,00080809*3A ; 0; 0; -2.11; 1.46; 19/11/2014 11:47:35
79; 464; 128.09; 128.09; 55.37708; 11.376645; $EVT1,301720.037040,G,00080810*35 ; 0; 0; -2.08; 1.51; 19/11/2014 11:47:36
80; 464; 124.46; 124.46; 55.3770716666667; 11.3766633333333; $EVT1,301720.204795,G,00080811*39 ; 0; 0; -1.92; 1.6; 19/11/2014 11:47:36
81; 464; 121.68; 121.68; 55.3770666666667; 11.3766766666667; $EVT1,301720.372552,G,00080812*33 ; 0; 0; -1.77; 1.64; 19/11/2014 11:47:36
82; 464; 118.78; 118.78; 55.3770616666667; 11.3766916666667; $EVT1,301720.540307,G,00080813*33 ; 0; 0; -1.75; 1.66; 19/11/2014 11:47:36
83; 464; 114.94; 114.94; 55.3770566666667; 11.3767116666667; $EVT1,301720.708064,G,00080814*3C ; 0; 0; -1.62; 1.67; 19/11/2014 11:47:36
84; 464; 112.05; 112.05; 55.3770533333333; 11.3767266666667; $EVT1,301720.875819,G,00080815*3A ; 0; 0; -1.46; 1.63; 19/11/2014 11:47:36
85; 464; 109.17; 109.17; 55.37705; 11.3767416666667; $EVT1,301721.043578,G,00080816*3F ; 0; 0; -1.39; 1.59; 19/11/2014 11:47:37
86; 464; 105.38; 105.38; 55.377045; 11.3767633333333; $EVT1,301721.211334,G,00080817*35 ; 0; 0; -1.41; 1.64; 19/11/2014 11:47:37
87; 464; 102.58; 102.58; 55.3770433333333; 11.3767783333333; $EVT1,301721.379091,G,00080818*39 ; 0; 0; -1.34; 1.65; 19/11/2014 11:47:37
88; 464; 99.8; 99.8; 55.3770416666667; 11.376795; $EVT1,301721.546846,G,00080819*30 ; 0; 0; -1.18; 1.61; 19/11/2014 11:47:37
89; 464; 96.05; 96.05; 55.37704; 11.3768166666667; $EVT1,301721.714602,G,00080820*31 ; 0; 0; -1.12; 1.6; 19/11/2014 11:47:37
90; 464; 93.3; 93.3; 55.3770383333333; 11.3768333333333; $EVT1,301721.882359,G,00080821*3B ; 0; 0; -1.06; 1.57; 19/11/2014 11:47:37
91; 464; 90.59; 90.59; 55.3770383333333; 11.3768483333333; $EVT1,301722.050118,G,00080822*3B ; 0; 0; -1.06; 1.53; 19/11/2014 11:47:38
92; 464; 86.98; 86.98; 55.3770383333333; 11.37687; $EVT1,301722.217873,G,00080823*3F ; 0; 0; -1.04; 1.53; 19/11/2014 11:47:38
93; 464; 84.29; 84.29; 55.37704; 11.3768866666667; $EVT1,301722.385629,G,00080824*33 ; 0; 0; -1; 1.55; 19/11/2014 11:47:38
94; 464; 80.71; 80.71; 55.37704; 11.3769083333333; $EVT1,301722.553385,G,00080825*3C ; 0; 0; -0.97; 1.57; 19/11/2014 11:47:38
95; 464; 78.06; 78.06; 55.3770416666667; 11.3769233333333; $EVT1,301722.721141,G,00080826*32 ; 0; 0; -0.91; 1.54; 19/11/2014 11:47:38
96; 464; 75.45; 75.45; 55.377045; 11.3769383333333; $EVT1,301722.888898,G,00080827*32 ; 0; 0; -0.81; 1.49; 19/11/2014 11:47:38
97; 465; 72.12; 72.12; 55.3770466666667; 11.37696; $EVT1,301723.056656,G,00080828*3B ; 0; 0; -0.67; 1.5; 19/11/2014 11:47:39
98; 465; 69.61; 69.61; 55.37705; 11.376975; $EVT1,301723.224412,G,00080829*3F ; 0; 0; -0.55; 1.51; 19/11/2014 11:47:39
99; 465; 67.11; 67.11; 55.3770533333333; 11.3769883333333; $EVT1,301723.392168,G,00080830*33 ; 0; 0; -0.5; 1.54; 19/11/2014 11:47:39
100; 465; 63.81; 63.81; 55.3770583333333; 11.3770083333333; $EVT1,301723.559924,G,00080831*33 ; 0; 0; -0.52; 1.49; 19/11/2014 11:47:39
101; 465; 61.32; 61.32; 55.3770616666667; 11.3770216666667; $EVT1,301723.727680,G,00080832*3A ; 0; 0; -0.53; 1.42; 19/11/2014 11:47:39
102; 465; 58.84; 58.84; 55.3770666666667; 11.377035; $EVT1,301723.895437,G,00080833*33 ; 0; 0; -0.5; 1.45; 19/11/2014 11:47:39
103; 466; 55.57; 55.57; 55.3770733333333; 11.3770516666667; $EVT1,301724.063195,G,00080834*3F ; 0; 0; -0.5; 1.49; 19/11/2014 11:47:40
104; 466; 53.12; 53.12; 55.3770783333333; 11.377065; $EVT1,301724.230951,G,00080835*3A ; 0; 0; -0.45; 1.48; 19/11/2014 11:47:40
105; 466; 50.66; 50.66; 55.3770833333333; 11.3770766666667; $EVT1,301724.398707,G,00080836*37 ; 0; 0; -0.38; 1.44; 19/11/2014 11:47:40
106; 466; 47.39; 47.39; 55.37709; 11.3770916666667; $EVT1,301724.566464,G,00080837*37 ; 0; 0; -0.37; 1.48; 19/11/2014 11:47:40
107; 466; 44.96; 44.96; 55.3770966666667; 11.3771033333333; $EVT1,301724.734219,G,00080838*31 ; 0; 0; -0.41; 1.46; 19/11/2014 11:47:40
108; 467; 41.73; 41.73; 55.377105; 11.3771166666667; $EVT1,301724.901976,G,00080839*3A ; 0; 0; -0.37; 1.4; 19/11/2014 11:47:40
109; 467; 39.31; 39.31; 55.3771116666667; 11.3771266666667; $EVT1,301725.069733,G,00080840*3D ; 0; 0; -0.35; 1.44; 19/11/2014 11:47:41
110; 467; 36.89; 36.89; 55.3771183333333; 11.3771366666667; $EVT1,301725.237489,G,00080841*37 ; 0; 0; -0.34; 1.43; 19/11/2014 11:47:41
111; 467; 33.68; 33.68; 55.3771283333333; 11.3771483333333; $EVT1,301725.405245,G,00080842*35 ; 0; 0; -0.27; 1.45; 19/11/2014 11:47:41
112; 467; 31.25; 31.25; 55.377135; 11.3771566666667; $EVT1,301725.573002,G,00080843*35 ; 0; 0; -0.21; 1.43; 19/11/2014 11:47:41
113; 468; 28.84; 28.84; 55.3771433333333; 11.3771633333333; $EVT1,301725.740757,G,00080844*37 ; 0; 0; -0.22; 1.4; 19/11/2014 11:47:41
114; 468; 25.61; 25.61; 55.3771533333333; 11.3771733333333; $EVT1,301725.908513,G,00080845*36 ; 0; 0; -0.28; 1.44; 19/11/2014 11:47:41
115; 468; 23.22; 23.22; 55.3771616666667; 11.3771783333333; $EVT1,301726.076272,G,00080846*36 ; 0; 0; -0.2; 1.43; 19/11/2014 11:47:42
116; 468; 20.8; 20.8; 55.3771683333333; 11.377185; $EVT1,301726.244028,G,00080847*39 ; 0; 0; -0.15; 1.37; 19/11/2014 11:47:42
117; 469; 17.57; 17.57; 55.37718; 11.3771916666667; $EVT1,301726.411784,G,00080848*31 ; 0; 0; -0.18; 1.41; 19/11/2014 11:47:42
118; 469; 15.16; 15.16; 55.3771883333333; 11.377195; $EVT1,301726.579540,G,00080849*35 ; 0; 0; -0.25; 1.39; 19/11/2014 11:47:42
119; 469; 12.73; 12.73; 55.3771966666667; 11.3771983333333; $EVT1,301726.747296,G,00080850*3E ; 0; 0; -0.3; 1.32; 19/11/2014 11:47:42
120; 470; 9.49; 9.49; 55.3772083333333; 11.3772016666667; $EVT1,301726.915052,G,00080851*3C ; 0; 0; -0.36; 1.37; 19/11/2014 11:47:42
121; 470; 7.08; 7.08; 55.3772166666667; 11.377205; $EVT1,301727.082811,G,00080852*36 ; 0; 0; -0.32; 1.4; 19/11/2014 11:47:43
122; 470; 4.64; 4.64; 55.377225; 11.3772066666667; $EVT1,301727.250567,G,00080853*36 ; 0; 0; -0.27; 1.39; 19/11/2014 11:47:43
123; 470; 1.39; 1.39; 55.3772366666667; 11.3772066666667; $EVT1,301727.418323,G,00080854*3D ; 0; 0; -0.35; 1.39; 19/11/2014 11:47:43
124; 470; 358.95; 358.95; 55.377245; 11.3772066666667; $EVT1,301727.586079,G,00080855*36 ; 0; 0; -0.43; 1.42; 19/11/2014 11:47:43
125; 471; 355.7; 355.7; 55.3772566666667; 11.3772066666667; $EVT1,301727.753835,G,00080856*3F ; 0; 0; -0.43; 1.38; 19/11/2014 11:47:43
126; 471; 353.25; 353.25; 55.3772666666667; 11.377205; $EVT1,301727.921591,G,00080857*36 ; 0; 0; -0.38; 1.35; 19/11/2014 11:47:43
127; 471; 350.8; 350.8; 55.377275; 11.3772016666667; $EVT1,301728.089350,G,00080858*36 ; 0; 0; -0.44; 1.32; 19/11/2014 11:47:44
128; 471; 347.52; 347.52; 55.3772866666667; 11.3771983333333; $EVT1,301728.257106,G,00080859*37 ; 0; 0; -0.53; 1.32; 19/11/2014 11:47:44
129; 472; 345.05; 345.05; 55.377295; 11.377195; $EVT1,301728.424861,G,00080860*37 ; 0; 0; -0.59; 1.37; 19/11/2014 11:47:44
130; 472; 342.59; 342.59; 55.3773033333333; 11.37719; $EVT1,301728.592618,G,00080861*3A ; 0; 0; -0.59; 1.4; 19/11/2014 11:47:44
131; 472; 339.28; 339.28; 55.377315; 11.3771833333333; $EVT1,301728.760373,G,00080862*3E ; 0; 0; -0.56; 1.45; 19/11/2014 11:47:44
132; 472; 336.77; 336.77; 55.3773233333333; 11.3771766666667; $EVT1,301728.928130,G,00080863*38 ; 0; 0; -0.64; 1.48; 19/11/2014 11:47:44
133; 472; 334.28; 334.28; 55.3773316666667; 11.37717; $EVT1,301729.095888,G,00080864*3B ; 0; 0; -0.72; 1.51; 19/11/2014 11:47:45
134; 472; 330.92; 330.92; 55.3773416666667; 11.37716; $EVT1,301729.263645,G,00080865*3E ; 0; 0; -0.82; 1.47; 19/11/2014 11:47:45
135; 473; 328.4; 328.4; 55.37735; 11.3771516666667; $EVT1,301729.431400,G,00080866*3F ; 0; 0; -0.85; 1.52; 19/11/2014 11:47:45
136; 473; 325.86; 325.86; 55.3773583333333; 11.3771433333333; $EVT1,301729.599157,G,00080867*3A ; 0; 0; -0.84; 1.5; 19/11/2014 11:47:45
137; 473; 322.44; 322.44; 55.3773683333333; 11.3771316666667; $EVT1,301729.766912,G,00080868*3E ; 0; 0; -0.92; 1.5; 19/11/2014 11:47:45
138; 473; 319.86; 319.86; 55.377375; 11.37712; $EVT1,301729.934669,G,00080869*35 ; 0; 0; -1.03; 1.53; 19/11/2014 11:47:45
139; 473; 316.43; 316.43; 55.377385; 11.3771066666667; $EVT1,301730.102427,G,00080870*30 ; 0; 0; -1.11; 1.51; 19/11/2014 11:47:46
140; 473; 313.94; 313.94; 55.3773916666667; 11.377095; $EVT1,301730.270183,G,00080871*3C ; 0; 0; -1.16; 1.42; 19/11/2014 11:47:46
141; 473; 311.49; 311.49; 55.3773966666667; 11.3770833333333; $EVT1,301730.437939,G,00080872*33 ; 0; 0; -1.21; 1.38; 19/11/2014 11:47:46
142; 474; 308.03; 308.03; 55.377405; 11.3770666666667; $EVT1,301730.605695,G,00080873*38 ; 0; 0; -1.18; 1.49; 19/11/2014 11:47:46
143; 474; 305.49; 305.49; 55.3774116666667; 11.3770533333333; $EVT1,301730.773452,G,00080874*36 ; 0; 0; -1.27; 1.51; 19/11/2014 11:47:46
144; 474; 302.9; 302.9; 55.3774166666667; 11.37704; $EVT1,301730.941207,G,00080875*3E ; 0; 0; -1.4; 1.5; 19/11/2014 11:47:46
145; 474; 299.46; 299.46; 55.3774233333333; 11.37702; $EVT1,301731.108966,G,00080876*35 ; 0; 0; -1.5; 1.62; 19/11/2014 11:47:47
146; 474; 296.88; 296.88; 55.3774266666667; 11.3770066666667; $EVT1,301731.276723,G,00080877*31 ; 0; 0; -1.51; 1.46; 19/11/2014 11:47:47
147; 474; 294.42; 294.42; 55.3774316666667; 11.3769916666667; $EVT1,301731.444478,G,00080878*34 ; 0; 0; -1.51; 1.4; 19/11/2014 11:47:47
148; 474; 291.08; 291.08; 55.3774366666667; 11.37697; $EVT1,301731.612235,G,00080879*3B ; 0; 0; -1.82; 1.38; 19/11/2014 11:47:47
149; 474; 288.87; 288.87; 55.37744; 11.376955; $EVT1,301731.779991,G,00080880*34 ; 0; 0; -1.81; 1.23; 19/11/2014 11:47:47
150; 474; 286.64; 286.64; 55.3774433333333; 11.3769383333333; $EVT1,301731.947747,G,00080881*33 ; 0; 0; -1.72; 1.13; 19/11/2014 11:47:47
151; 474; 283.65; 283.65; 55.3774466666667; 11.3769166666667; $EVT1,301732.115505,G,00080882*38 ; 0; 0; -2.06; 1.27; 19/11/2014 11:47:48
152; 474; 281.46; 281.46; 55.3774483333333; 11.3769; $EVT1,301732.283261,G,00080883*30 ; 0; 0; -2.07; 1.29; 19/11/2014 11:47:48
153; 473; 279.22; 279.22; 55.37745; 11.3768833333333; $EVT1,301732.451018,G,00080884*32 ; 0; 0; -2.14; 1.25; 19/11/2014 11:47:48
154; 473; 276.23; 276.23; 55.3774533333333; 11.37686; $EVT1,301732.618774,G,00080885*31 ; 0; 0; -2.26; 1.23; 19/11/2014 11:47:48
155; 473; 273.96; 273.96; 55.3774533333333; 11.3768433333333; $EVT1,301732.786530,G,00080886*36 ; 0; 0; -2.35; 1.3; 19/11/2014 11:47:48
156; 473; 270.83; 270.83; 55.377455; 11.37682; $EVT1,301732.954286,G,00080887*3C ; 0; 0; -2.5; 1.38; 19/11/2014 11:47:48
157; 473; 268.35; 268.35; 55.377455; 11.3768016666667; $EVT1,301733.122043,G,00080888*30 ; 0; 0; -2.5; 1.49; 19/11/2014 11:47:49
158; 473; 265.82; 265.82; 55.3774533333333; 11.3767833333333; $EVT1,301733.289800,G,00080889*3C ; 0; 0; -2.47; 1.5; 19/11/2014 11:47:49
159; 472; 262.28; 262.28; 55.3774516666667; 11.37676; $EVT1,301733.457556,G,00080890*3F ; 0; 0; -2.53; 1.5; 19/11/2014 11:47:49
160; 472; 259.57; 259.57; 55.3774516666667; 11.3767433333333; $EVT1,301733.625312,G,00080891*3F ; 0; 0; -2.57; 1.56; 19/11/2014 11:47:49
161; 472; 256.82; 256.82; 55.3774483333333; 11.376725; $EVT1,301733.793069,G,00080892*3F ; 0; 0; -2.61; 1.61; 19/11/2014 11:47:49
162; 472; 253.05; 253.05; 55.377445; 11.3767033333333; $EVT1,301733.960824,G,00080893*3D ; 0; 0; -2.71; 1.67; 19/11/2014 11:47:49
163; 472; 250.13; 250.13; 55.3774416666667; 11.3766866666667; $EVT1,301734.128583,G,00080894*39 ; 0; 0; -2.78; 1.79; 19/11/2014 11:47:50
164; 471; 247.21; 247.21; 55.3774383333333; 11.37667; $EVT1,301734.296339,G,00080895*39 ; 0; 0; -2.76; 1.78; 19/11/2014 11:47:50
165; 471; 243.39; 243.39; 55.3774333333333; 11.3766483333333; $EVT1,301734.464096,G,00080896*37 ; 0; 0; -2.74; 1.75; 19/11/2014 11:47:50
166; 471; 240.62; 240.62; 55.3774283333333; 11.3766316666667; $EVT1,301734.631852,G,00080897*34 ; 0; 0; -2.82; 1.76; 19/11/2014 11:47:50
